month_year,Shipped,Return/Canceld,ratio return,Best  Months,Averge Month,ok ok months
Jan-22,4144,1338,32.28764479,FALSE,FALSE,FALSE
Feb-22,4589,1296,28.24144694,FALSE,FALSE,FALSE
Mar-22,9498,2512,26.44767319,TRUE,FALSE,FALSE
Apr-22,9104,2650,29.10808436,FALSE,TRUE,FALSE
May-22,12670,3032,23.93054459,TRUE,FALSE,FALSE
Jun-22,14043,3611,25.7138788,TRUE,FALSE,FALSE
Jul-22,15130,3488,23.05353602,TRUE,FALSE,FALSE
Aug-22,9585,2369,24.71570162,TRUE,FALSE,FALSE
Sep-22,13276,3003,22.61976499,TRUE,FALSE,FALSE
Oct-22,8692,2614,30.07363092,FALSE,FALSE,TRUE
Nov-22,5464,1593,29.15446559,FALSE,FALSE,TRUE
Dec-22,6024,1878,31.1752988,FALSE,FALSE,TRUE
,avg,,,,,
,9351.583333,2448.666667,27.21013922,,,
,percentile 0.25,,,,,
,5884,1806.75,24.51941236,,,
,percentiel 0.10,,,,,
,4676.5,1363.5,23.14123688,,,
,percentile 0.75,,,,,
,12821.5,3010.25,29.38425693,,,
