end_customer_state_new,Delivered,return/cancel,percentage of cancealtion,1st target state,low return & avg sales Target State,3rd Target State(high sales)
ANDAMAN AND NICOBAR ISLANDS,261,62,23.75478927,FALSE,FALSE,FALSE
ANDHRA PRADESH,15643,4543,29.04174391,TRUE,FALSE,FALSE
ARUNACHAL PRADESH,537,117,21.7877095,FALSE,TRUE,FALSE
ASSAM,5284,1579,29.88266465,FALSE,FALSE,FALSE
BIHAR,2202,1055,47.91099001,FALSE,FALSE,FALSE
CHANDIGARH,130,46,35.38461538,FALSE,FALSE,FALSE
CHHATTISGARH,1959,578,29.50484941,FALSE,FALSE,FALSE
DELHI,2653,1138,42.89483603,FALSE,FALSE,FALSE
GOA,982,246,25.0509165,FALSE,FALSE,FALSE
GUJARAT,5381,1682,31.25813046,FALSE,FALSE,FALSE
HARYANA,1317,616,46.77296887,FALSE,FALSE,FALSE
HIMACHAL PRADESH,376,122,32.44680851,FALSE,FALSE,FALSE
JAMMU AND KASHMIR,627,271,43.22169059,FALSE,FALSE,FALSE
JHARKHAND,1710,551,32.22222222,FALSE,FALSE,FALSE
KARNATAKA,13613,3804,27.94387718,TRUE,FALSE,FALSE
KERALA,13202,2630,19.92122406,TRUE,FALSE,FALSE
LAKSHADWEEP,3,0,0,FALSE,FALSE,FALSE
MADHYA PRADESH,2237,882,39.4278051,FALSE,FALSE,FALSE
MAHARASHTRA,18075,5098,28.20470263,TRUE,FALSE,FALSE
MANIPUR,353,62,17.56373938,FALSE,FALSE,FALSE
MEGHALAYA,326,67,20.55214724,FALSE,FALSE,FALSE
MIZORAM,35,5,14.28571429,FALSE,FALSE,FALSE
NAGALAND,137,31,22.62773723,FALSE,FALSE,FALSE
ODISHA,6168,2026,32.84695201,FALSE,FALSE,TRUE
PONDICHERRY,781,138,17.66965429,FALSE,TRUE,FALSE
PUNJAB,1580,591,37.40506329,FALSE,FALSE,FALSE
RAJASTHAN,1417,616,43.47212421,FALSE,FALSE,FALSE
SIKKIM,349,83,23.78223496,FALSE,FALSE,FALSE
TAMIL NADU,26078,5417,20.77229849,TRUE,FALSE,FALSE
TELANGANA,12997,4059,31.23028391,FALSE,FALSE,TRUE
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,86,23,26.74418605,FALSE,FALSE,FALSE
TRIPURA,808,184,22.77227723,FALSE,FALSE,FALSE
UTTAR PRADESH,6781,2822,41.61628078,FALSE,FALSE,TRUE
UTTARAKHAND,989,365,36.90596562,FALSE,FALSE,FALSE
WEST BENGAL,13885,3515,25.31508822,TRUE,FALSE,FALSE
,avg,,,"shipped> avg, return< avg","shipped > 0.25, return < 0.25",shipped>0.75
,4541.771429,1286.4,29.20555118,,,
,percentile 0.25,,,,,
,364.5,100,22.70000723,,,
,percentile 0.10,,,,,
,132.8,37,18.5702822,,,
Best State,percentile 0.90,,,,,
Avg State,13776.2,3957,43.09094877,,,
low return State,,,,,,
